dataset,transforms,acc_mean,acc_std,f1_mean,rocket_time_mean,clf_fit_time_mean,clf_pred_time_mean,combo_total_time,dataset_total_time
InsectWingbeatSound,TIME+DWT+DCT+HLB+DT1,0.6568518518518519,0.014083988340221024,0.6507776567674802,0.9480325317382812,0.21752421855926513,0.46194777488708494,68.79085540771484,68.94035172462463
ItalyPowerDemand,TIME+DWT+DCT+HLB+DT1,0.9634596695821186,0.008905438764333567,0.963452715437441,0.208711838722229,0.0632321039835612,0.25620407263437905,25.32526206970215,25.34117555618286
LargeKitchenAppliances,TIME+DWT+DCT+HLB+DT1,0.9016000000000001,0.017024252852480343,0.9014591190516137,0.8286057090759279,0.35286126136779783,0.0919377088546753,48.41720271110535,48.55878281593323
Lightning2,TIME+DWT+DCT+HLB+DT1,0.7633879781420764,0.04966669041481749,0.7551802587889619,0.20408456484476725,0.06383246580759684,0.013387568791707357,10.906915187835693,10.940277814865112
Lightning7,TIME+DWT+DCT+HLB+DT1,0.8205479452054795,0.049938975708378595,0.815972892884896,0.14901721636454263,0.07351399262746175,0.017899386088053384,9.762862920761108,9.802465915679932
Mallat,TIME+DWT+DCT+HLB+DT1,0.9791897654584222,0.009906126155233296,0.9790540658324667,3.3404020690917973,0.055469791094462075,0.5543204704920451,139.4865162372589,139.9526698589325
Meat,TIME+DWT+DCT+HLB+DT1,0.9905555555555555,0.014065543223524633,0.9905395472211904,0.1534839057922363,0.06542879740397135,0.015457812945048015,9.374158382415771,9.417083024978638
MedicalImages,TIME+DWT+DCT+HLB+DT1,0.812236842105263,0.013061709845240611,0.7732347494260907,0.33189944426218665,0.3741157611211141,0.1933095137278239,36.84759473800659,36.90204071998596
MiddlePhalanxOutlineAgeGroup,TIME+DWT+DCT+HLB+DT1,0.6504329004329003,0.03560918551005367,0.6089318813821291,0.17409821192423502,0.3882329861323039,0.03845458825429281,23.671042680740356,23.715810775756836
MiddlePhalanxOutlineCorrect,TIME+DWT+DCT+HLB+DT1,0.8454753722794961,0.01806404129782089,0.8378843237102729,0.24846181551615398,0.5981785535812378,0.07528446515401205,35.91511607170105,35.992292404174805
MiddlePhalanxTW,TIME+DWT+DCT+HLB+DT1,0.5450216450216451,0.023468634057887097,0.38378141702678154,0.1732143227259318,0.38601481119791664,0.039972909291585285,23.75630235671997,23.794668674468994
MixedShapesRegularTrain,TIME+DWT+DCT+HLB+DT1,0.9786391752577319,0.0024567538818143168,0.978780873282495,4.018670252164205,0.5288151184717814,0.5572029987970988,178.01521944999695,178.5627384185791
MixedShapesSmallTrain,TIME+DWT+DCT+HLB+DT1,0.9540068728522338,0.0074567627862536755,0.9544775406786041,3.489429275194804,0.09477204481760661,0.5661596377690633,146.06761503219604,146.51990485191345
MoteStrain,TIME+DWT+DCT+HLB+DT1,0.901171458998935,0.021761751773491357,0.900147290626874,0.35077135721842445,0.021118545532226564,0.298969038327535,30.25092911720276,30.317415952682495
NonInvasiveFetalECGThorax1,TIME+DWT+DCT+HLB+DT1,0.9570144189991517,0.0038973314282000045,0.9537275320818431,4.165449206034343,2.679289944966634,0.48440768718719485,251.65204405784607,253.09720182418823
NonInvasiveFetalECGThorax2,TIME+DWT+DCT+HLB+DT1,0.968888888888889,0.003848291484566383,0.966036344511214,4.146548260052999,2.6885125557581584,0.47902654806772865,251.69840955734253,254.97235012054443
OSULeaf,TIME+DWT+DCT+HLB+DT1,0.9630853994490358,0.008858366496315979,0.9635967324392991,0.36615893681844075,0.1909974257151286,0.05990102291107178,23.667203664779663,23.79383087158203
OliveOil,TIME+DWT+DCT+HLB+DT1,0.8944444444444444,0.03759760959041917,0.8671151350979727,0.1331518538792928,0.03261735439300537,0.007486605644226074,7.4483115673065186,7.480055093765259
PhalangesOutlinesCorrect,TIME+DWT+DCT+HLB+DT1,0.8607226107226107,0.00887491702444173,0.8488113878869522,0.6216877794265747,2.585263387362162,0.2277762174606323,127.79941320419312,127.9416115283966
Phoneme,TIME+DWT+DCT+HLB+DT1,0.34811884669479615,0.012252858804993239,0.20183293937179128,2.9448734919230146,0.2087235450744629,0.45082879066467285,127.26275134086609,127.69461965560913
PigAirwayPressure,TIME+DWT+DCT+HLB+DT1,0.6814102564102564,0.03274725146684036,0.670284025614908,0.999550619125366,0.10331687927246094,0.050152071317036945,42.03910040855408,42.172792196273804
PigArtPressure,TIME+DWT+DCT+HLB+DT1,0.9504807692307693,0.02070287060010791,0.9456968956968956,0.9937245353062947,0.10304559071858724,0.05118037859598796,41.52356791496277,41.65038275718689
